"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
0.0002835,0.0228302,0.0369041,0.042629,0.0012216,0.0075739,0.0171385,0.0014659,0.0372661,0.0002353,0.0110124,0.0778259,0.0260757,0.2145354,0.0005459,0.0195213,0.0001749,0.110477,0.093429,0.131796,0.0098029,0.0306574,0.0088799,0.0009562,0.0233701,0.0018701,0.0715219
0.0580027,0.0058699,7.91e-05,0.0022625,0.3416714,0.0002057,0.0004272,0.0003639,0.0479084,0.0076894,0,0.115056,0.0012816,0.0003481,0.0966553,1.58e-05,0,0.0740301,0.0226884,0.010743,0.1196127,0.001155,3.16e-05,0,0.0864502,0,0.0074521
0.1229841,2.71e-05,0.0215451,0.0005246,0.1715916,9e-06,0,0.1701716,0.056549,0,0.0453966,0.0488879,0,3.62e-05,0.1759242,9e-06,0.0017185,0.0376812,0.0010492,0.0906756,0.0358361,0,0,0,0.0041969,9e-06,0.0151774
0.0280345,0.0005057,0.0002585,0.0081086,0.1224833,0.0006799,0.0054844,0.000708,0.0794902,0.0003484,0.0001911,0.0092662,0.0021466,0.0030456,0.0397283,0.000163,2.25e-05,0.0178918,0.0307037,0.0009159,0.0178805,0.0027759,0.0013655,0,0.0076478,0,0.6201541
0.0545873,0.0012798,0.0224322,0.0843434,0.0317097,0.008564,0.0052834,0.0017762,0.0127186,0.0002605,0.0010967,0.0339975,0.0186268,0.0815271,0.0032334,0.0101307,0.0021424,0.1307517,0.0712793,0.0241537,0.0014289,0.0157312,0.0070879,0.0105139,0.0125997,0.0001831,0.352561
0.0638579,0.0002384,0.0003179,0.0002086,0.0928264,0.0500293,1.99e-05,9.93e-05,0.0820576,0,1.99e-05,0.0266638,3.97e-05,8.94e-05,0.1545186,0.0001689,9.9e-06,0.0825344,0.0039539,0.034194,0.0334986,9.9e-06,0.0001987,0,0.00152,0,0.372925
0.0592435,0.0003842,0.0005205,0.0020078,0.1482326,0.0002727,0.0101631,0.1420108,0.0501091,2.48e-05,3.72e-05,0.0395122,0.002987,0.0127906,0.0573224,0.0005577,0,0.0884686,0.0261142,0.0062466,0.0256309,3.72e-05,0.000347,0,0.003272,0.0001363,0.323571
0.1580232,0.0007737,0.002046,0.0005185,0.4597035,0.0004627,3.59e-05,7.18e-05,0.1252667,0,4e-06,0.0014278,0.0013042,0.0012922,0.0700557,4.39e-05,0.0003191,0.0117178,0.0022056,0.0297253,0.0131497,0,0.001029,0,0.0072309,0,0.1135928
0.0166996,0.0069144,0.0486793,0.0363474,0.0480664,0.0271435,0.0307856,7.75e-05,0.0004826,3.5e-06,0.0073125,0.0526842,0.0412929,0.2618995,0.0497818,0.0062698,0.0004333,0.043762,0.1157982,0.1198384,0.000701,0.0235788,2.11e-05,0.001881,0,0.0032265,0.0563193
0.2106638,0,0,0,0.190642,0,0,0,0.0004353,0,0,0,0,0,0.2644178,0,0,0,0,0,0.3299238,0,0,0,0.0002176,0,0.0036997
0.0169234,0.0011671,0.0005058,0.0017118,0.3321662,0.0041628,0.0004669,0.0007781,0.1300965,0,0.0003112,0.0185963,0.0009726,0.100957,0.0113601,0.001206,0,0.0004279,0.0613523,0.0022954,0.0029956,0,0.0041239,0,0.0086757,0,0.2987473
0.10168,0.0005515,0.0020459,0.0668636,0.1657445,0.0134024,0.0011801,0.0001542,0.1107889,1.19e-05,0.0053728,0.135518,0.0055389,0.0009726,0.0826499,0.0022654,5.9e-06,0.0018443,0.0230153,0.0180635,0.0144461,0.004163,0.0025797,0,0.0968765,2.37e-05,0.1442414
0.1539307,0.0285939,0.0001653,0.0025384,0.2496134,0.0017798,1.95e-05,0.0003015,0.0877464,1.95e-05,0,0.0015756,0.0221846,0.0029567,0.1098532,0.0485124,0,0.016991,0.0249954,0.0008461,0.0385435,2.92e-05,0.0001167,0,0.0505257,0,0.1581614
